UsageStartDate,UsageEndDate,UsageType,ResourceId,UsageAmount,CurrencyCode,UnblendedCost
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0b2168effea755b0d,3.1061110000,USD,2.6133568835
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0baa7eefda5a145e8,3.9005560000,USD,3.2817234741
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0f29b8fd8b41fb966,3.8930560000,USD,3.2754137240
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0052065cae4069793,4.3786110000,USD,3.6839111485
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-012d4fde0144c617b,4.0380560000,USD,3.3974022257
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0542a1aaf7f2e7a11,4.4177780000,USD,3.7168623457
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-06c38e7a6506782c9,4.3044440000,USD,3.6215144511
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-099e690cea8f8977b,4.4455560000,USD,3.7402319772
2018-10-21T16:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0bdf3dd9168bb202d,4.0600000000,USD,3.4158637130
2018-10-21T16:00:00Z,2018-10-22T00:00:00Z,SpotUsage:i3.8xlarge,i-0b99810bb6e857c98,8.0000000000,USD,6.7305857448
2018-10-21T18:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-060b53d2bd5cfdb3b,1.8272220000,USD,1.5372418645
2018-10-21T18:00:00Z,2018-10-22T00:00:00Z,SpotUsage:i3.8xlarge,i-07cce5fbd96a34a4a,6.0000000000,USD,5.0478000305
2018-10-21T19:00:00Z,2018-10-22T00:00:00Z,SpotUsage:i3.8xlarge,i-038f991169fc87c5d,5.0000000000,USD,4.2065000472
2018-10-21T19:00:00Z,2018-10-22T00:00:00Z,SpotUsage:i3.8xlarge,i-06c69468e41b70f8c,5.0000000000,USD,4.2065000472
2018-10-21T19:00:00Z,2018-10-22T00:00:00Z,SpotUsage:i3.8xlarge,i-09a6c78dbadc3f83c,5.0000000000,USD,4.2065000472
2018-10-21T20:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-053706a570bcde84a,0.9811110000,USD,0.8254086879
2018-10-21T20:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0557a48d395a75514,0.9811110000,USD,0.8254086879
2018-10-21T20:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0612a4b29f76e5344,0.9919440000,USD,0.8345224909
2018-10-21T20:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-06e3bf6e5aa6785f6,0.9944440000,USD,0.8366257409
2018-10-21T20:00:00Z,2018-10-21T21:00:00Z,SpotUsage:i3.8xlarge,i-0c7ab1b50d110aa97,0.9919440000,USD,0.8345224909
